split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params
0.0372200914014873,0.034117403122745804,0.04083349769626243,0.02946410803947941,0.05401140345914912,0.03912868864597066,0.008324157701931798,3,0.13203005790710448,0.002733677104194225,0.008716535568237305,0.0002099019297064841,22,2,94,13,0.338372494651778,89,"{'max_depth': 22, 'max_features': 2, 'min_samples_leaf': 94, 'min_samples_split': 13, 'min_weight_fraction_leaf': 0.338372494651778, 'n_estimators': 89}"
0.06417479120820913,0.06476604781715334,0.07996913022707064,0.06312565196094633,0.07051254162314513,0.06851002926700578,0.006279349526092703,1,0.06415820121765137,0.0036431680244678817,0.004327535629272461,8.863349767874972e-05,19,2,37,21,0.27948233148679424,34,"{'max_depth': 19, 'max_features': 2, 'min_samples_leaf': 37, 'min_samples_split': 21, 'min_weight_fraction_leaf': 0.27948233148679424, 'n_estimators': 34}"
0.05444966643884397,0.04230458609953147,0.03639486391221802,0.022381997901424366,0.04587432923903767,0.04028253255844295,0.010691449780209552,2,0.2070234775543213,0.029480947069171367,0.011859416961669922,0.003040058060621772,11,2,17,22,0.3445461539133722,157,"{'max_depth': 11, 'max_features': 2, 'min_samples_leaf': 17, 'min_samples_split': 22, 'min_weight_fraction_leaf': 0.3445461539133722, 'n_estimators': 157}"
0.059947142228316874,0.053220258479233506,0.0691221811838113,0.005092250074029914,0.02428614248771177,0.04234008190191007,0.023910997992156992,2,0.04398326873779297,0.0011949773833337283,0.002800750732421875,0.00014010571189621278,42,3,37,29,0.43342267857782585,22,"{'max_depth': 42, 'max_features': 3, 'min_samples_leaf': 37, 'min_samples_split': 29, 'min_weight_fraction_leaf': 0.43342267857782585, 'n_estimators': 22}"
0.029475618921898983,0.02538546909500461,0.01931845610946481,0.01859906607245898,0.02599413078930124,0.023754890318889773,0.004163315825870732,3,0.23098335266113282,0.04002459605532655,0.014089393615722656,0.0036454627600267095,10,1,67,29,0.3186515225757831,199,"{'max_depth': 10, 'max_features': 1, 'min_samples_leaf': 67, 'min_samples_split': 29, 'min_weight_fraction_leaf': 0.3186515225757831, 'n_estimators': 199}"
0.27915583363292584,0.2781735665909112,0.24083937238224384,0.24061023260900494,0.24126564392972172,0.2560124663751447,0.01850289207855667,1,0.1794304370880127,0.0024363495073798066,0.013122129440307616,0.00023685185645471726,39,1,65,9,0.03343078337668363,139,"{'max_depth': 39, 'max_features': 1, 'min_samples_leaf': 65, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.03343078337668363, 'n_estimators': 139}"
0.273698688529054,0.3061433188138597,0.25248919129214653,0.23565372687874253,0.27381160515715286,0.26836250375008136,0.02369555831562828,1,0.24600634574890137,0.005005249543899132,0.014260196685791015,4.00874023975502e-05,24,3,19,16,0.1020980413200008,96,"{'max_depth': 24, 'max_features': 3, 'min_samples_leaf': 19, 'min_samples_split': 16, 'min_weight_fraction_leaf': 0.1020980413200008, 'n_estimators': 96}"
0.028411691091692615,0.028536695256030087,0.0466035860848083,0.06705235579185975,0.027308704076410062,0.03958082353783844,0.015498918028796032,2,0.11956272125244141,0.004453208509482577,0.007656669616699219,0.00040349498814662064,10,2,60,29,0.354699090242089,82,"{'max_depth': 10, 'max_features': 2, 'min_samples_leaf': 60, 'min_samples_split': 29, 'min_weight_fraction_leaf': 0.354699090242089, 'n_estimators': 82}"
0.0047464316270458,0.025030549152012638,0.016633499261593743,0.016079590802152155,0.03009431936425011,0.018515805630982214,0.008666991953113164,3,0.08196101188659669,0.0038121033838082203,0.0046295166015625,0.000817442575886269,12,2,50,14,0.49848341519602,54,"{'max_depth': 12, 'max_features': 2, 'min_samples_leaf': 50, 'min_samples_split': 14, 'min_weight_fraction_leaf': 0.49848341519602, 'n_estimators': 54}"
0.04141586657354246,0.04242295409438246,0.036257061441424265,0.0253979149221788,0.05054607085861318,0.039208263612215175,0.008283503805698571,1,0.04774012565612793,0.006446568933123973,0.003586435317993164,0.0017152039354577004,41,1,64,25,0.26629564074664797,28,"{'max_depth': 41, 'max_features': 1, 'min_samples_leaf': 64, 'min_samples_split': 25, 'min_weight_fraction_leaf': 0.26629564074664797, 'n_estimators': 28}"
